المرحلة,المهمة,الوصف,الأولوية,المدة المتوقعة,الحالة
المرحلة 1 - التأسيس القانوني,إصدار السجل التجاري,إصدار سجل تجاري إلكتروني بنشاط الطباعة والخدمات العامة عبر منصة السجل التجاري,عالية,يوم 1-3,لم تبدأ
المرحلة 1 - التأسيس القانوني,رخصة البلدية,إصدار الرخصة البلدية للمحل عبر منصة بلدي,عالية,يوم 1-5,لم تبدأ
المرحلة 1 - التأسيس القانوني,عقد الإيجار,توقيع عقد إيجار المحل (11 ألف سنويًا) وتوثيقه في منصة إيجار,عالية,يوم 3-7,لم تبدأ
المرحلة 1 - التأسيس القانوني,حساب بنكي تجاري,فتح حساب بنكي باسم المؤسسة وربطه بنقاط البيع,عالية,يوم 5-10,لم تبدأ
المرحلة 1 - التأسيس القانوني,التسجيل في معروف,توثيق النشاط في منصة معروف لزيادة الثقة,متوسطة,يوم 5-10,لم تبدأ
المرحلة 1 - التأسيس القانوني,التسجيل الضريبي,التسجيل في هيئة الزكاة والضريبة وتفعيل الفوترة الإلكترونية,عالية,يوم 5-10,لم تبدأ
المرحلة 2 - التجهيز والشراء,رحلة الشراء من الرياض,شراء الأجهزة حسب قائمة الشراء (طابعتان + إيبسون + قطاعة + مغلفة + مستهلكات) بميزانية 8800 ريال,عالية,يوم 10-14,لم تبدأ
المرحلة 2 - التجهيز والشراء,نقل الاستوديو,نقل معدات استوديو البودكاست من الرياض إلى الأحساء,متوسطة,يوم 10-14,لم تبدأ
المرحلة 2 - التجهيز والشراء,اللوحة الخارجية,تصميم وتركيب لوحة المحل بشعار إبراهيم سعود والخدمات الخمس,عالية,يوم 14-21,لم تبدأ
المرحلة 2 - التجهيز والشراء,تجهيز الديكور الداخلي,ترتيب المكتب الرئيسي وجهاز iMac ومنطقة جلوس العملاء والرفوف حسب التصميم,متوسطة,يوم 14-21,لم تبدأ
المرحلة 2 - التجهيز والشراء,الإنترنت ونقاط البيع,تركيب إنترنت وتفعيل جهاز مدى للمدفوعات,عالية,يوم 14-21,لم تبدأ
المرحلة 2 - التجهيز والشراء,إعداد نظام ERP,إدخال الخدمات والأسعار والعملاء في النظام وتجهيز لوحة متابعة الدخل اليومي,عالية,يوم 21-25,لم تبدأ
المرحلة 2 - التجهيز والشراء,القوالب الجاهزة,تجهيز قوالب سير ذاتية وكروت إهداء وستكرات وثيمات جاهزة للبيع السريع,عالية,يوم 21-25,لم تبدأ
المرحلة 3 - الإطلاق,الافتتاح التجريبي,فتح المحل بشكل تجريبي وقياس أول أسبوع مبيعات في النظام,عالية,يوم 25-30,لم تبدأ
المرحلة 3 - الإطلاق,اتفاقيات محلات الورد,توقيع اتفاقيات باقات شهرية (كروت وستكرات) مع محل الصديق والمحلات المجاورة,عالية,الشهر 2,لم تبدأ
المرحلة 3 - الإطلاق,حملة التسويق المحلية,إطلاق حساب سناب وتيك توك وحملة افتتاح بعروض خاصة,متوسطة,الشهر 2,لم تبدأ
المرحلة 3 - الإطلاق,خرائط قوقل,تسجيل المحل في خرائط قوقل مع صور وتقييمات أول العملاء,متوسطة,الشهر 2,لم تبدأ
المرحلة 3 - الإطلاق,طلبات واتساب,تفعيل استقبال الطلبات عبر واتساب أعمال ودراسة خدمة التوصيل,متوسطة,الشهر 2,لم تبدأ
المرحلة 4 - التشغيل والنمو,مراجعة الأرقام أسبوعيًا,متابعة الدخل اليومي ونقطة التعادل (65 ريال/يوم) في لوحة ERP كل أسبوع,عالية,مستمرة,لم تبدأ
المرحلة 4 - التشغيل والنمو,خدمة الفوترة للمحلات,إطلاق خدمة إعداد الفواتير الإلكترونية والتسجيل الضريبي للمحلات الصغيرة,متوسطة,الشهر 3,لم تبدأ
المرحلة 4 - التشغيل والنمو,تفعيل المونتاج والمحتوى,بدء خدمات المونتاج وتشغيل الاستوديو تدريجيًا بعد استقرار الدخل اليومي,متوسطة,الشهر 3,لم تبدأ
المرحلة 4 - التشغيل والنمو,دراسة الاستقدام,بدء إجراءات استقدام المصمم عبر منصة قوى بعد إثبات استقرار الدخل,منخفضة,الشهر 4-6,لم تبدأ
المرحلة 4 - التشغيل والنمو,دراسة الشقة,تقييم جدوى استئجار الشقة (15 ألف) للاستوديو وسكن العمالة بأرقام فعلية من النظام,منخفضة,الشهر 4-6,لم تبدأ
المرحلة 4 - التشغيل والنمو,تمويل التوسع,التقديم على تمويل بنك التنمية الاجتماعية للتوسع بعد 6 أشهر من الأرقام الموثقة,منخفضة,الشهر 6+,لم تبدأ
